type,value,timestamp
b,876,2024-12-12 23:50:08
b,942,2024-12-12 23:50:09
a,851,2024-12-12 23:50:10
a,646,2024-12-12 23:50:11
a,449,2024-12-12 23:50:12
a,163,2024-12-12 23:50:13
a,641,2024-12-12 23:50:14
b,426,2024-12-12 23:50:15
a,971,2024-12-12 23:50:16
a,688,2024-12-12 23:50:17
b,146,2024-12-12 23:50:18
b,287,2024-12-12 23:50:19
a,807,2024-12-12 23:50:20
c,614,2024-12-12 23:50:21
a,210,2024-12-12 23:50:22
c,468,2024-12-12 23:50:23
a,781,2024-12-12 23:50:24
a,646,2024-12-12 23:50:25
c,205,2024-12-12 23:50:26
c,75,2024-12-12 23:50:27
c,154,2024-12-12 23:50:28
c,612,2024-12-12 23:50:29
a,542,2024-12-12 23:50:30
c,687,2024-12-12 23:50:31
c,742,2024-12-12 23:50:32
c,269,2024-12-12 23:50:33
a,132,2024-12-12 23:50:34
c,757,2024-12-12 23:50:35
c,513,2024-12-12 23:50:36
c,308,2024-12-12 23:50:37
b,561,2024-12-12 23:50:38
a,92,2024-12-12 23:50:39
c,332,2024-12-12 23:50:40
c,259,2024-12-12 23:50:41
a,775,2024-12-12 23:50:42
b,909,2024-12-12 23:50:43
c,562,2024-12-12 23:50:44
b,897,2024-12-12 23:50:45
b,173,2024-12-12 23:50:46
c,89,2024-12-12 23:50:47
b,335,2024-12-12 23:50:48
c,268,2024-12-12 23:50:49
b,665,2024-12-12 23:50:50
a,275,2024-12-12 23:50:51
c,945,2024-12-12 23:50:52
c,463,2024-12-12 23:50:53
a,922,2024-12-12 23:50:54
c,795,2024-12-12 23:50:55
b,837,2024-12-12 23:50:56
a,215,2024-12-12 23:50:57
a,470,2024-12-12 23:50:58
a,850,2024-12-12 23:50:59
a,541,2024-12-12 23:51:00
a,272,2024-12-12 23:51:01
c,533,2024-12-12 23:51:02
b,989,2024-12-12 23:51:03
b,358,2024-12-12 23:51:04
c,272,2024-12-12 23:51:05
b,14,2024-12-12 23:51:06
a,433,2024-12-12 23:51:07
c,972,2024-12-12 23:51:08
b,80,2024-12-12 23:51:09
b,480,2024-12-12 23:51:10
c,705,2024-12-12 23:51:11
b,824,2024-12-12 23:51:12
a,113,2024-12-12 23:51:13
b,582,2024-12-12 23:51:14
b,790,2024-12-12 23:51:15
c,805,2024-12-12 23:51:16
c,161,2024-12-12 23:51:17
c,750,2024-12-12 23:51:18
a,184,2024-12-12 23:51:19
b,346,2024-12-12 23:51:20
a,567,2024-12-12 23:51:21
c,97,2024-12-12 23:51:22
a,438,2024-12-12 23:51:23
a,406,2024-12-12 23:51:24
b,183,2024-12-12 23:51:25
c,313,2024-12-12 23:51:26
b,92,2024-12-12 23:51:27
a,401,2024-12-12 23:51:28
a,337,2024-12-12 23:51:29
a,883,2024-12-12 23:51:30
a,627,2024-12-12 23:51:31
c,144,2024-12-12 23:51:32
b,761,2024-12-12 23:51:33
c,727,2024-12-12 23:51:34
c,526,2024-12-12 23:51:35
b,802,2024-12-12 23:51:36
c,973,2024-12-12 23:51:37
b,588,2024-12-12 23:51:38
a,64,2024-12-12 23:51:39
c,536,2024-12-12 23:51:40
c,402,2024-12-12 23:51:41
b,857,2024-12-12 23:51:42
c,246,2024-12-12 23:51:43
c,648,2024-12-12 23:51:44
c,763,2024-12-12 23:51:45
c,168,2024-12-12 23:51:46
a,748,2024-12-12 23:51:47
c,489,2024-12-12 23:51:48
a,169,2024-12-12 23:51:49
b,477,2024-12-12 23:51:50
b,329,2024-12-12 23:51:51
b,691,2024-12-12 23:51:52
b,717,2024-12-12 23:51:53
b,812,2024-12-12 23:51:54
a,655,2024-12-12 23:51:55
a,310,2024-12-12 23:51:56
a,117,2024-12-12 23:51:57
c,473,2024-12-12 23:51:58
a,243,2024-12-12 23:51:59
a,692,2024-12-12 23:52:00
b,429,2024-12-12 23:52:01
c,336,2024-12-12 23:52:02
c,63,2024-12-12 23:52:03
c,984,2024-12-12 23:52:04
b,259,2024-12-12 23:52:05
c,596,2024-12-12 23:52:06
a,680,2024-12-12 23:52:07
a,744,2024-12-12 23:52:08
b,480,2024-12-12 23:52:09
b,863,2024-12-12 23:52:10
c,337,2024-12-12 23:52:11
c,251,2024-12-12 23:52:12
b,142,2024-12-12 23:52:13
c,860,2024-12-12 23:52:14
c,674,2024-12-12 23:52:15
b,536,2024-12-12 23:52:16
a,512,2024-12-12 23:52:17
b,773,2024-12-12 23:52:18
b,962,2024-12-12 23:52:19
c,418,2024-12-12 23:52:20
c,486,2024-12-12 23:52:21
c,166,2024-12-12 23:52:22
b,714,2024-12-12 23:52:23
c,450,2024-12-12 23:52:24
b,50,2024-12-12 23:52:25
a,556,2024-12-12 23:52:26
c,90,2024-12-12 23:52:27
c,566,2024-12-12 23:52:28
b,132,2024-12-12 23:52:29
b,774,2024-12-12 23:52:30
c,577,2024-12-12 23:52:31
b,153,2024-12-12 23:52:32
a,484,2024-12-12 23:52:33
b,849,2024-12-12 23:52:34
b,596,2024-12-12 23:52:35
b,113,2024-12-12 23:52:36
c,78,2024-12-12 23:52:37
c,10,2024-12-12 23:52:38
b,102,2024-12-12 23:52:39
b,96,2024-12-12 23:52:40
a,280,2024-12-12 23:52:41
c,343,2024-12-12 23:52:42
b,168,2024-12-12 23:52:43
c,132,2024-12-12 23:52:44
a,786,2024-12-12 23:52:45
c,743,2024-12-12 23:52:46
c,508,2024-12-12 23:52:47
c,402,2024-12-12 23:52:48
b,60,2024-12-12 23:52:49
c,89,2024-12-12 23:52:50
b,900,2024-12-12 23:52:51
c,322,2024-12-12 23:52:52
a,434,2024-12-12 23:52:53
a,387,2024-12-12 23:52:54
c,202,2024-12-12 23:52:55
a,690,2024-12-12 23:52:56
b,771,2024-12-12 23:52:57
b,534,2024-12-12 23:52:58
b,410,2024-12-12 23:52:59
a,319,2024-12-12 23:53:00
b,525,2024-12-12 23:53:01
c,127,2024-12-12 23:53:02
b,941,2024-12-12 23:53:03
b,941,2024-12-12 23:53:04
a,512,2024-12-12 23:53:05
a,426,2024-12-12 23:53:06
a,823,2024-12-12 23:53:07
b,860,2024-12-12 23:53:08
c,259,2024-12-12 23:53:09
a,630,2024-12-12 23:53:10
a,918,2024-12-12 23:53:11
b,751,2024-12-12 23:53:12
b,32,2024-12-12 23:53:13
a,375,2024-12-12 23:53:14
b,279,2024-12-12 23:53:15
a,908,2024-12-12 23:53:16
c,631,2024-12-12 23:53:17
b,766,2024-12-12 23:53:18
c,362,2024-12-12 23:53:19
b,299,2024-12-12 23:53:20
a,118,2024-12-12 23:53:21
b,10,2024-12-12 23:53:22
c,164,2024-12-12 23:53:23
b,991,2024-12-12 23:53:24
c,576,2024-12-12 23:53:25
b,39,2024-12-12 23:53:26
b,244,2024-12-12 23:53:27
c,248,2024-12-12 23:53:28
b,267,2024-12-12 23:53:29
a,13,2024-12-12 23:53:30
a,150,2024-12-12 23:53:31
b,265,2024-12-12 23:53:32
b,223,2024-12-12 23:53:33
b,880,2024-12-12 23:53:34
b,439,2024-12-12 23:53:35
