type,value,timestamp
high_price,21.5,1986-11-07 14:00:00
close_price,21.5,1986-11-07 16:00:00
low_price,20.25,1986-07-14 12:00:00
high_price,20.75,1986-07-14 14:00:00
close_price,20.75,1986-07-14 16:00:00
low_price,18.75,1986-07-15 12:00:00
high_price,20.0,1986-07-15 14:00:00
close_price,20.0,1986-07-15 16:00:00
low_price,20.0,1986-07-16 12:00:00
high_price,20.0,1986-07-16 14:00:00
close_price,18.75,1986-07-16 16:00:00
low_price,19.75,1986-07-17 12:00:00
high_price,19.75,1986-07-17 14:00:00
close_price,19.75,1986-07-17 16:00:00
low_price,19.75,1986-07-18 12:00:00
high_price,19.75,1986-07-18 14:00:00
close_price,19.75,1986-07-18 16:00:00
low_price,19.5,1986-07-21 12:00:00
high_price,20.25,1986-07-21 14:00:00
close_price,19.75,1986-07-21 16:00:00
low_price,19.75,1986-07-22 12:00:00
high_price,19.75,1986-07-22 14:00:00
close_price,19.75,1986-07-22 16:00:00
low_price,19.5,1986-07-23 12:00:00
high_price,19.5,1986-07-23 14:00:00
close_price,19.5,1986-07-23 16:00:00
low_price,19.75,1986-07-24 12:00:00
high_price,19.75,1986-07-24 14:00:00
close_price,19.5,1986-07-24 16:00:00
low_price,19.875,1986-07-25 12:00:00
high_price,20.0,1986-07-25 14:00:00
close_price,19.875,1986-07-25 16:00:00
low_price,19.875,1986-07-28 12:00:00
high_price,20.0,1986-07-28 14:00:00
close_price,19.875,1986-07-28 16:00:00
low_price,20.25,1986-07-29 12:00:00
high_price,20.25,1986-07-29 14:00:00
close_price,19.875,1986-07-29 16:00:00
low_price,20.25,1986-07-30 12:00:00
high_price,20.25,1986-07-30 14:00:00
close_price,20.25,1986-07-30 16:00:00
low_price,19.75,1986-07-31 12:00:00
high_price,19.75,1986-07-31 14:00:00
close_price,19.75,1986-07-31 16:00:00
low_price,20.0,1986-01-08 12:00:00
high_price,20.0,1986-01-08 14:00:00
close_price,20.0,1986-01-08 16:00:00
low_price,19.25,1986-04-08 12:00:00
high_price,19.25,1986-04-08 14:00:00
close_price,19.25,1986-04-08 16:00:00
low_price,19.25,1986-05-08 12:00:00
high_price,19.75,1986-05-08 14:00:00
close_price,19.25,1986-05-08 16:00:00
low_price,19.875,1986-06-08 12:00:00
high_price,19.875,1986-06-08 14:00:00
close_price,19.375,1986-06-08 16:00:00
low_price,19.25,1986-07-08 12:00:00
high_price,19.25,1986-07-08 14:00:00
close_price,19.25,1986-07-08 16:00:00
low_price,19.75,1986-08-08 12:00:00
high_price,19.75,1986-08-08 14:00:00
close_price,19.25,1986-08-08 16:00:00
low_price,19.75,1986-11-08 12:00:00
high_price,19.75,1986-11-08 14:00:00
close_price,19.75,1986-11-08 16:00:00
low_price,19.25,1986-12-08 12:00:00
high_price,19.25,1986-12-08 14:00:00
close_price,19.25,1986-12-08 16:00:00
low_price,19.5,1986-08-13 12:00:00
high_price,19.5,1986-08-13 14:00:00
close_price,19.25,1986-08-13 16:00:00
low_price,19.5,1986-08-14 12:00:00
high_price,19.5,1986-08-14 14:00:00
close_price,19.5,1986-08-14 16:00:00
low_price,19.25,1986-08-15 12:00:00
high_price,19.25,1986-08-15 14:00:00
close_price,19.25,1986-08-15 16:00:00
low_price,19.25,1986-08-18 12:00:00
high_price,19.25,1986-08-18 14:00:00
close_price,19.25,1986-08-18 16:00:00
low_price,18.0,1986-08-19 12:00:00
high_price,18.0,1986-08-19 14:00:00
close_price,18.0,1986-08-19 16:00:00
low_price,18.75,1986-08-20 12:00:00
high_price,18.75,1986-08-20 14:00:00
close_price,18.75,1986-08-20 16:00:00
low_price,18.0,1986-08-21 12:00:00
high_price,19.25,1986-08-21 14:00:00
close_price,18.75,1986-08-21 16:00:00
low_price,18.75,1986-08-22 12:00:00
high_price,18.75,1986-08-22 14:00:00
close_price,18.0,1986-08-22 16:00:00
low_price,18.75,1986-08-25 12:00:00
high_price,18.75,1986-08-25 14:00:00
close_price,18.75,1986-08-25 16:00:00
