id,timestamp,type,group,value
5,5,4,1,772
8,8,6,1,22
11,11,0,1,914
15,15,2,1,314
19,19,1,1,1
20,20,6,1,65
23,23,4,1,382
25,25,1,1,41
27,27,1,1,60
30,30,6,1,49
32,32,3,1,810
34,34,0,1,842
37,37,3,1,316
40,40,0,1,765
41,41,2,1,285
42,42,1,1,100
47,47,3,1,713
51,51,5,1,80
52,52,5,1,61
56,56,2,1,250
58,58,5,1,61
61,61,5,1,10
64,64,3,1,709
67,67,0,1,350
70,70,4,1,420
72,72,5,1,93
76,76,6,1,88
81,81,3,1,220
83,83,0,1,528
85,85,1,1,62
90,90,2,1,152
93,93,2,1,931
97,97,0,1,410
100,100,1,1,43
102,102,0,1,581
103,103,0,1,395
106,106,5,1,67
108,108,4,1,363
112,112,2,1,294
113,113,2,1,304
114,114,1,1,85
117,117,1,1,5
120,120,3,1,616
123,123,1,1,34
125,125,4,1,226
126,126,5,1,70
131,131,2,1,555
134,134,5,1,78
135,135,3,1,366
138,138,4,1,739
141,141,2,1,530
143,143,1,1,40
146,146,1,1,88
150,150,4,1,411
154,154,6,1,41
159,159,2,1,930
161,161,5,1,95
166,166,2,1,513
169,169,1,1,30
173,173,0,1,128
176,176,2,1,914
179,179,0,1,713
180,180,3,1,699
185,185,6,1,57
190,190,3,1,812
194,194,5,1,4
195,195,4,1,453
200,200,6,1,19
202,202,1,1,46
205,205,4,1,705
207,207,0,1,452
212,212,4,1,374
217,217,0,1,245
220,220,6,1,89
222,222,6,1,50
225,225,5,1,80
229,229,6,1,75
232,232,0,1,319
235,235,1,1,14
237,237,0,1,397
238,238,3,1,944
242,242,6,1,49
243,243,6,1,82
247,247,1,1,24
251,251,0,1,924
254,254,5,1,64
255,255,4,1,854
256,256,6,1,78
259,259,4,1,249
263,263,6,1,72
267,267,3,1,938
270,270,5,1,16
271,271,6,1,11
273,273,2,1,79
274,274,1,1,97
277,277,0,1,479
279,279,1,1,57
282,282,1,1,47
284,284,3,1,6
288,288,5,1,69
289,289,1,1,13
292,292,2,1,241
297,297,5,1,39
300,300,1,1,40
302,302,2,1,171
305,305,1,1,12
307,307,3,1,766
312,312,0,1,188
317,317,2,1,159
319,319,2,1,155
324,324,1,1,51
326,326,5,1,50
327,327,5,1,77
331,331,1,1,33
333,333,0,1,773
334,334,1,1,68
336,336,1,1,32
340,340,4,1,943
345,345,1,1,19
347,347,3,1,856
350,350,5,1,100
355,355,1,1,32
360,360,4,1,475
365,365,0,1,490
368,368,3,1,519
369,369,0,1,361
371,371,1,1,78
373,373,6,1,78
374,374,4,1,207
375,375,5,1,57
376,376,0,1,261
380,380,4,1,218
385,385,2,1,847
387,387,1,1,7
390,390,2,1,75
393,393,1,1,58
397,397,2,1,851
401,401,0,1,444
405,405,1,1,1
409,409,0,1,328
413,413,3,1,174
418,418,4,1,653
422,422,0,1,449
425,425,1,1,98
429,429,4,1,83
433,433,4,1,257
