type,value,timestamp
a,148,2024-11-11 11:11:11
c,171,2024-11-11 11:11:12
c,141,2024-11-11 11:11:13
b,6,2024-11-11 11:11:14
c,167,2024-11-11 11:11:15
c,216,2024-11-11 11:11:16
c,176,2024-11-11 11:11:17
c,161,2024-11-11 11:11:18
c,250,2024-11-11 11:11:19
c,101,2024-11-11 11:11:20
c,128,2024-11-11 11:11:21
c,295,2024-11-11 11:11:22
c,166,2024-11-11 11:11:23
c,137,2024-11-11 11:11:24
c,247,2024-11-11 11:11:25
c,253,2024-11-11 11:11:26
c,193,2024-11-11 11:11:27
c,167,2024-11-11 11:11:28
c,233,2024-11-11 11:11:29
c,113,2024-11-11 11:11:30
a,61,2024-11-11 11:11:31
c,265,2024-11-11 11:11:32
c,294,2024-11-11 11:11:33
c,258,2024-11-11 11:11:34
c,222,2024-11-11 11:11:35
c,273,2024-11-11 11:11:36
c,134,2024-11-11 11:11:37
c,298,2024-11-11 11:11:38
c,202,2024-11-11 11:11:39
c,186,2024-11-11 11:11:40
c,146,2024-11-11 11:11:41
c,225,2024-11-11 11:11:42
c,237,2024-11-11 11:11:43
c,142,2024-11-11 11:11:44
c,195,2024-11-11 11:11:45
b,8,2024-11-11 11:11:46
c,127,2024-11-11 11:11:47
c,272,2024-11-11 11:11:48
c,167,2024-11-11 11:11:49
c,300,2024-11-11 11:11:50
b,7,2024-11-11 11:11:51
c,285,2024-11-11 11:11:52
c,151,2024-11-11 11:11:53
c,217,2024-11-11 11:11:54
c,186,2024-11-11 11:11:55
c,298,2024-11-11 11:11:56
a,107,2024-11-11 11:11:57
c,282,2024-11-11 11:11:58
c,104,2024-11-11 11:11:59
a,46,2024-11-11 11:12:00
c,289,2024-11-11 11:12:01
a,89,2024-11-11 11:12:02
c,156,2024-11-11 11:12:03
c,195,2024-11-11 11:12:04
c,149,2024-11-11 11:12:05
c,103,2024-11-11 11:12:06
c,132,2024-11-11 11:12:07
a,143,2024-11-11 11:12:08
c,191,2024-11-11 11:12:09
c,288,2024-11-11 11:12:10
c,247,2024-11-11 11:12:11
a,103,2024-11-11 11:12:12
a,85,2024-11-11 11:12:13
c,192,2024-11-11 11:12:14
c,154,2024-11-11 11:12:15
c,140,2024-11-11 11:12:16
c,163,2024-11-11 11:12:17
c,140,2024-11-11 11:12:18
b,6,2024-11-11 11:12:19
c,178,2024-11-11 11:12:20
c,235,2024-11-11 11:12:21
c,282,2024-11-11 11:12:22
c,265,2024-11-11 11:12:23
c,232,2024-11-11 11:12:24
c,235,2024-11-11 11:12:25
c,132,2024-11-11 11:12:26
c,140,2024-11-11 11:12:27
c,293,2024-11-11 11:12:28
c,165,2024-11-11 11:12:29
c,191,2024-11-11 11:12:30
c,163,2024-11-11 11:12:31
c,204,2024-11-11 11:12:32
a,28,2024-11-11 11:12:33
a,57,2024-11-11 11:12:34
b,3,2024-11-11 11:12:35
c,261,2024-11-11 11:12:36
c,105,2024-11-11 11:12:37
c,149,2024-11-11 11:12:38
c,273,2024-11-11 11:12:39
c,237,2024-11-11 11:12:40
c,204,2024-11-11 11:12:41
c,216,2024-11-11 11:12:42
c,103,2024-11-11 11:12:43
c,170,2024-11-11 11:12:44
c,118,2024-11-11 11:12:45
c,108,2024-11-11 11:12:46
c,252,2024-11-11 11:12:47
c,112,2024-11-11 11:12:48
c,130,2024-11-11 11:12:49
c,129,2024-11-11 11:12:50
a,24,2024-11-11 11:12:51
a,82,2024-11-11 11:12:52
