Date,Low,Open,Volume,High,Close,Adjusted Close,Name
1980-03-17,7.625,7.875,8800.0,8.125,7.625,4.285454273223877,ALCO
1980-03-18,7.625,7.625,5200.0,8.125,7.625,4.285454273223877,ALCO
1980-03-19,7.5,7.625,12400.0,8.0,7.5,4.215203285217285,ALCO
1980-03-20,7.375,7.5,1600.0,7.875,7.375,4.144949436187744,ALCO
1980-03-21,7.375,7.375,0.0,7.375,7.375,4.144949436187744,ALCO
1980-03-24,6.875,7.0,9600.0,7.375,6.875,3.863933801651001,ALCO
1980-03-25,6.875,6.875,800.0,7.375,6.875,3.863933801651001,ALCO
1980-03-26,6.0,6.5,11200.0,6.5,6.0,3.372162342071533,ALCO
1980-03-27,6.125,6.125,12400.0,6.625,6.125,3.4424149990081787,ALCO
1980-03-28,6.125,6.125,0.0,6.125,6.125,3.4424149990081787,ALCO
1980-03-31,6.375,6.375,2000.0,6.875,6.375,3.5829215049743652,ALCO
1980-04-01,6.75,6.75,1200.0,7.25,6.75,3.7936840057373047,ALCO
1980-04-02,6.875,6.875,800.0,7.375,6.875,3.863933801651001,ALCO
1980-04-03,6.875,6.875,0.0,6.875,6.875,3.863933801651001,ALCO
1980-04-07,6.5,6.5,400.0,7.0,6.5,3.65317440032959,ALCO
1980-04-08,6.5,6.5,400.0,7.0,6.5,3.65317440032959,ALCO
1980-04-09,6.625,6.625,400.0,7.125,6.625,3.7234272956848145,ALCO
1980-04-10,6.625,6.625,400.0,7.125,6.625,3.7234272956848145,ALCO
1980-04-11,6.625,6.625,0.0,6.625,6.625,3.7234272956848145,ALCO
1980-04-14,6.5,6.5,1600.0,7.0,6.5,3.65317440032959,ALCO
1980-04-15,6.5,6.5,2000.0,7.0,6.5,3.65317440032959,ALCO
1980-04-16,6.5,6.5,2800.0,7.0,6.5,3.65317440032959,ALCO
1980-04-17,6.5,6.5,9200.0,7.0,6.5,3.65317440032959,ALCO
1980-04-18,6.5,6.5,0.0,6.5,6.5,3.65317440032959,ALCO
1980-04-21,6.75,6.75,800.0,7.25,6.75,3.7936840057373047,ALCO
1980-04-22,7.0,7.0,8000.0,7.5,7.0,3.934187889099121,ALCO
1980-04-23,7.25,7.25,2800.0,7.75,7.25,4.074695587158203,ALCO
1980-04-24,7.125,7.25,400.0,7.625,7.125,4.004441738128662,ALCO
1980-04-25,7.125,7.125,0.0,7.125,7.125,4.004441738128662,ALCO
1980-04-28,7.25,7.25,7600.0,7.75,7.25,4.074695587158203,ALCO
1980-04-29,7.625,7.625,4800.0,8.125,7.625,4.285454273223877,ALCO
1980-04-30,7.625,7.625,800.0,8.125,7.625,4.285454273223877,ALCO
1980-05-01,7.625,7.625,2000.0,8.125,7.625,4.285454273223877,ALCO
1980-05-02,7.5,7.625,1200.0,8.0,7.5,4.215203285217285,ALCO
1980-05-05,7.5,7.5,20800.0,8.0,7.5,4.215203285217285,ALCO
1980-05-06,7.5,7.5,4800.0,8.0,7.5,4.215203285217285,ALCO
1980-05-07,7.5,7.5,4800.0,8.0,7.5,4.215203285217285,ALCO
1980-05-08,7.5,7.5,2800.0,8.0,7.5,4.215203285217285,ALCO
1980-05-09,7.5,7.5,16800.0,8.0,7.5,4.215203285217285,ALCO
1980-05-12,7.5,7.5,400.0,8.0,7.5,4.215203285217285,ALCO
1980-05-13,7.5,7.5,400.0,8.0,7.5,4.215203285217285,ALCO
1980-05-14,7.625,7.625,3200.0,8.125,7.625,4.285454273223877,ALCO
1980-05-15,7.625,7.625,2000.0,8.125,7.625,4.285454273223877,ALCO
1980-05-16,7.625,7.625,400.0,8.125,7.625,4.285454273223877,ALCO
1980-05-19,7.625,7.625,800.0,8.125,7.625,4.285454273223877,ALCO
1980-05-20,7.5,7.625,4800.0,8.0,7.5,4.215203285217285,ALCO
1980-05-21,7.5,7.5,5200.0,8.0,7.5,4.215203285217285,ALCO
1980-05-22,7.25,7.5,2400.0,7.75,7.25,4.074695587158203,ALCO
1980-05-23,7.25,7.25,400.0,7.75,7.25,4.074695587158203,ALCO
1980-05-27,7.25,7.25,800.0,7.75,7.25,4.074695587158203,ALCO
1980-05-28,7.25,7.25,2000.0,7.75,7.25,4.074695587158203,ALCO
1980-05-29,7.0,7.25,6800.0,7.5,7.0,3.934187889099121,ALCO
1980-05-30,7.0,7.0,400.0,7.5,7.0,3.934187889099121,ALCO
1980-06-02,7.0,7.0,400.0,7.5,7.0,3.934187889099121,ALCO
1980-06-03,7.0,7.0,400.0,7.5,7.0,3.934187889099121,ALCO
1980-06-04,7.0,7.0,800.0,7.5,7.0,3.934187889099121,ALCO
1980-06-05,7.0,7.0,8000.0,7.5,7.0,3.934187889099121,ALCO
1980-06-06,7.0,7.0,400.0,7.5,7.0,3.934187889099121,ALCO
1980-06-09,7.125,7.125,1600.0,7.625,7.125,4.004441738128662,ALCO
1980-06-10,7.125,7.125,400.0,7.625,7.125,4.004441738128662,ALCO
