type,value,timestamp
density_difference,5,2024-11-11 11:11:11
boil_off_rate,82,2024-11-11 11:11:12
density_difference,2,2024-11-11 11:11:13
pressure,147,2024-11-11 11:11:14
density_difference,6,2024-11-11 11:11:15
boil_off_rate,38,2024-11-11 11:11:16
boil_off_rate,91,2024-11-11 11:11:17
boil_off_rate,44,2024-11-11 11:11:18
density_difference,4,2024-11-11 11:11:19
pressure,142,2024-11-11 11:11:20
density_difference,2,2024-11-11 11:11:21
boil_off_rate,86,2024-11-11 11:11:22
pressure,177,2024-11-11 11:11:23
boil_off_rate,69,2024-11-11 11:11:24
density_difference,1,2024-11-11 11:11:25
density_difference,5,2024-11-11 11:11:26
pressure,225,2024-11-11 11:11:27
boil_off_rate,82,2024-11-11 11:11:28
boil_off_rate,123,2024-11-11 11:11:29
density_difference,6,2024-11-11 11:11:30
density_difference,3,2024-11-11 11:11:31
pressure,285,2024-11-11 11:11:32
pressure,209,2024-11-11 11:11:33
pressure,217,2024-11-11 11:11:34
boil_off_rate,12,2024-11-11 11:11:35
pressure,150,2024-11-11 11:11:36
density_difference,3,2024-11-11 11:11:37
pressure,266,2024-11-11 11:11:38
boil_off_rate,140,2024-11-11 11:11:39
pressure,131,2024-11-11 11:11:40
boil_off_rate,7,2024-11-11 11:11:41
pressure,177,2024-11-11 11:11:42
density_difference,6,2024-11-11 11:11:43
density_difference,5,2024-11-11 11:11:44
pressure,287,2024-11-11 11:11:45
density_difference,1,2024-11-11 11:11:46
boil_off_rate,95,2024-11-11 11:11:47
pressure,144,2024-11-11 11:11:48
pressure,179,2024-11-11 11:11:49
density_difference,8,2024-11-11 11:11:50
boil_off_rate,109,2024-11-11 11:11:51
pressure,240,2024-11-11 11:11:52
pressure,179,2024-11-11 11:11:53
density_difference,1,2024-11-11 11:11:54
pressure,120,2024-11-11 11:11:55
pressure,101,2024-11-11 11:11:56
boil_off_rate,15,2024-11-11 11:11:57
boil_off_rate,30,2024-11-11 11:11:58
density_difference,7,2024-11-11 11:11:59
density_difference,7,2024-11-11 11:12:00
boil_off_rate,29,2024-11-11 11:12:01
pressure,272,2024-11-11 11:12:02
pressure,116,2024-11-11 11:12:03
density_difference,6,2024-11-11 11:12:04
pressure,115,2024-11-11 11:12:05
pressure,176,2024-11-11 11:12:06
pressure,203,2024-11-11 11:12:07
boil_off_rate,61,2024-11-11 11:12:08
boil_off_rate,70,2024-11-11 11:12:09
boil_off_rate,64,2024-11-11 11:12:10
pressure,273,2024-11-11 11:12:11
boil_off_rate,93,2024-11-11 11:12:12
boil_off_rate,50,2024-11-11 11:12:13
pressure,242,2024-11-11 11:12:14
boil_off_rate,92,2024-11-11 11:12:15
density_difference,9,2024-11-11 11:12:16
pressure,138,2024-11-11 11:12:17
pressure,147,2024-11-11 11:12:18
boil_off_rate,6,2024-11-11 11:12:19
pressure,107,2024-11-11 11:12:20
boil_off_rate,133,2024-11-11 11:12:21
pressure,234,2024-11-11 11:12:22
density_difference,4,2024-11-11 11:12:23
density_difference,5,2024-11-11 11:12:24
density_difference,7,2024-11-11 11:12:25
pressure,138,2024-11-11 11:12:26
pressure,131,2024-11-11 11:12:27
boil_off_rate,38,2024-11-11 11:12:28
density_difference,1,2024-11-11 11:12:29
boil_off_rate,91,2024-11-11 11:12:30
boil_off_rate,24,2024-11-11 11:12:31
pressure,131,2024-11-11 11:12:32
boil_off_rate,137,2024-11-11 11:12:33
density_difference,4,2024-11-11 11:12:34
boil_off_rate,46,2024-11-11 11:12:35
density_difference,8,2024-11-11 11:12:36
density_difference,3,2024-11-11 11:12:37
pressure,227,2024-11-11 11:12:38
pressure,195,2024-11-11 11:12:39
pressure,126,2024-11-11 11:12:40
boil_off_rate,54,2024-11-11 11:12:41
pressure,222,2024-11-11 11:12:42
boil_off_rate,4,2024-11-11 11:12:43
density_difference,1,2024-11-11 11:12:44
density_difference,5,2024-11-11 11:12:45
density_difference,5,2024-11-11 11:12:46
pressure,123,2024-11-11 11:12:47
pressure,125,2024-11-11 11:12:48
pressure,196,2024-11-11 11:12:49
pressure,226,2024-11-11 11:12:50
pressure,288,2024-11-11 11:12:51
pressure,188,2024-11-11 11:12:52
density_difference,1,2024-11-11 11:12:53
boil_off_rate,135,2024-11-11 11:12:54
density_difference,1,2024-11-11 11:12:55
boil_off_rate,99,2024-11-11 11:12:56
density_difference,4,2024-11-11 11:12:57
boil_off_rate,130,2024-11-11 11:12:58
density_difference,4,2024-11-11 11:12:59
pressure,293,2024-11-11 11:13:00
boil_off_rate,10,2024-11-11 11:13:01
density_difference,5,2024-11-11 11:13:02
pressure,283,2024-11-11 11:13:03
pressure,279,2024-11-11 11:13:04
boil_off_rate,147,2024-11-11 11:13:05
boil_off_rate,134,2024-11-11 11:13:06
density_difference,3,2024-11-11 11:13:07
boil_off_rate,72,2024-11-11 11:13:08
pressure,139,2024-11-11 11:13:09
boil_off_rate,17,2024-11-11 11:13:10
pressure,172,2024-11-11 11:13:11
boil_off_rate,150,2024-11-11 11:13:12
boil_off_rate,36,2024-11-11 11:13:13
density_difference,9,2024-11-11 11:13:14
pressure,111,2024-11-11 11:13:15
pressure,176,2024-11-11 11:13:16
boil_off_rate,2,2024-11-11 11:13:17
pressure,279,2024-11-11 11:13:18
